2024-07-14 00:04:28.8773|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 00:04:28.9926|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 00:04:28.9986|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 00:29:13.3247|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 00:29:13.3519|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 00:29:13.3665|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:03:24.0018|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:03:24.0470|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:03:24.0470|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:14:14.1362|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:14:14.1737|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:14:14.1737|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:18:32.7194|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:18:32.7571|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:18:32.7617|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:21:41.3103|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:21:41.3606|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:21:41.3606|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:24:11.2977|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:24:11.3530|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:24:11.3579|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:29:26.6875|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:29:26.7204|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:29:26.7349|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:31:00.9992|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:31:01.0301|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:31:01.0424|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:34:52.5950|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:34:52.6384|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:34:52.6384|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:44:05.4038|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:44:05.4442|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:44:05.4568|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 12:45:53.0052|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 12:45:53.0438|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 12:45:53.0438|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 13:14:00.5310|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 13:14:00.5867|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 13:14:00.6036|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 13:19:12.3972|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 13:19:12.4375|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 13:19:12.4509|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 13:23:59.8798|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 13:23:59.9240|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 13:23:59.9421|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
2024-07-14 13:33:51.2664|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Application started. Press Ctrl+C to shut down. |                     url: |                     action: 
2024-07-14 13:33:51.3026|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Hosting environment: Development |                     url: |                     action: 
2024-07-14 13:33:51.3084|                     0|                     INFO|                     Microsoft.Hosting.Lifetime|                     Content root path: C:\Users\Hp\Desktop\eBooks\src\eBooks.Web |                     url: |                     action: 
